Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
1,0,1,1,0,1,0,0,5,20,20,17:52,1072
0,0,0,0,0,0,0,0,2,0,23,20:46,1246
0,0,0,-1,0,0,0,0,2,0,22,19:42,1182
0,0,0,1,0,0,0,0,1,0,21,17:37,1057
0,0,0,0,0,0,0,0,2,0,25,21:51,1311
0,0,0,-2,0,0,0,0,7,0,20,19:51,1191
0,1,1,-1,0,0,0,0,6,0,24,20:51,1251
1,3,4,1,4,0,1,0,7,14.3,23,22:25,1345
0,2,2,-1,0,0,0,0,7,0,24,20:11,1211
0,0,0,0,2,0,0,0,3,0,25,22:37,1357
0,1,1,0,0,0,0,0,4,0,27,23:39,1419
2,0,2,0,0,1,1,1,8,25,24,18:58,1138
0,0,0,0,0,0,0,0,2,0,21,22:48,1368
0,0,0,-2,0,0,0,0,3,0,21,20:19,1219
0,0,0,-1,2,0,0,0,3,0,23,21:05,1265
1,1,2,2,0,1,0,1,4,25,23,18:55,1135
0,0,0,0,0,0,0,0,8,0,26,20:06,1206
2,0,2,0,2,0,2,0,4,50,25,20:50,1250
1,0,1,1,0,1,0,1,3,33.3,22,18:38,1118
0,0,0,0,0,0,0,0,7,0,21,20:45,1245
0,0,0,1,2,0,0,0,1,0,25,22:41,1361
0,0,0,0,0,0,0,0,3,0,19,18:08,1088
0,0,0,0,0,0,0,0,1,0,21,18:25,1105
2,0,2,1,0,2,0,0,7,28.6,19,14:55,895
0,0,0,0,2,0,0,0,9,0,22,24:43:00,1483
0,2,2,3,2,0,0,0,7,0,22,20:12,1212
0,1,1,-1,0,0,0,0,6,0,22,20:48,1248
0,0,0,2,2,0,0,0,6,0,22,22:03,1323
1,0,1,3,2,1,0,0,5,20,22,20:24,1224
0,0,0,-1,0,0,0,0,5,0,21,21:07,1267
1,0,1,-1,2,0,1,0,6,16.7,22,19:58,1198
0,0,0,0,2,0,0,0,10,0,22,23:34,1414
1,1,2,2,2,1,0,0,6,16.7,22,18:59,1139
1,1,2,1,0,1,0,0,4,25,23,19:32,1172
1,1,2,1,0,0,1,0,3,33.3,20,17:08,1028
1,0,1,1,0,1,0,0,3,33.3,19,19:31,1171
1,0,1,0,0,0,1,0,4,25,22,21:06,1266
0,0,0,0,0,0,0,0,3,0,18,18:57,1137
1,0,1,0,0,0,1,1,3,33.3,20,18:37,1117
0,0,0,0,0,0,0,0,5,0,22,18:45,1125
2,0,2,1,0,1,1,0,9,22.2,24,20:38,1238
1,1,2,1,0,1,0,0,2,50,23,19:53,1193
2,0,2,0,0,1,1,0,4,50,26,18:44,1124
0,0,0,-1,0,0,0,0,6,0,23,21:52,1312
2,0,2,1,4,1,1,1,5,40,21,17:03,1023
0,0,0,-1,2,0,0,0,8,0,24,25:18:00,1518
2,1,3,0,2,1,1,0,10,20,23,22:56,1376
0,1,1,1,0,0,0,0,3,0,21,19:16,1156
1,0,1,1,4,1,0,1,3,33.3,23,18:18,1098
0,0,0,-1,2,0,0,0,3,0,25,19:36,1176
1,0,1,-1,0,0,1,0,3,33.3,21,22:14,1334
0,1,1,-1,0,0,0,0,6,0,22,21:14,1274
1,0,1,-1,0,1,0,0,5,20,24,21:21,1281
2,2,4,2,0,1,1,0,7,28.6,19,16:10,970
1,1,2,0,0,0,1,0,7,14.3,22,20:21,1221
1,1,2,1,0,1,0,1,6,16.7,18,19:58,1198
0,0,0,1,0,0,0,0,3,0,24,20:35,1235
0,0,0,-1,0,0,0,0,5,0,24,23:46,1426
1,0,1,-1,0,0,1,0,5,20,25,23:35,1415
0,0,0,-2,0,0,0,0,2,0,21,20:59,1259
2,1,3,2,0,2,0,1,6,33.3,20,18:01,1081
2,0,2,1,0,1,1,1,8,25,23,20:58,1258
1,1,2,0,0,0,1,0,8,12.5,22,18:29,1109
1,0,1,-2,2,0,1,0,4,25,24,20:06,1206
0,1,1,1,0,0,0,0,3,0,21,22:12,1332
0,0,0,1,0,0,0,0,4,0,19,17:35,1055
0,0,0,0,4,0,0,0,9,0,24,22:30,1350
2,0,2,2,0,2,0,1,6,33.3,20,20:43,1243
0,0,0,-3,0,0,0,0,2,0,21,20:58,1258
0,0,0,-1,0,0,0,0,4,0,24,20:57,1257
